"pt","en"
"d paulo    figuras  importantes durante  anos  repressão  farol progressista   apaga  momento tão delicado   democracia","D paulo important figures for years repression progressive lighthouse erases moment so delicate democracy"
"educação condenada  leia abaixo nota  entidades estudantis  repudia  aprovação  proposta  emenda constitucional  vai congelar gastos públicos  atingir investimentosm  principalmente   educação   saúde 2gxgqbw","Education condemned read below note student entities repudiate approval proposal constitutional amendment will freeze public spending achieve investmentsm mainly education health 2gxgqbw"
"porto alegre  belém presentes  milhares  pessoas  norte  sul  país saem  manifestações contra  aprovação  pec55  povo   ruas  falar forapecforatemer  fotos mídia ninja","Porto alegre belém presents thousands people north south country exit manifestations against approval pec55 people streets speak forapecforatemer photos media ninja"
"  paulo ato  nenhum direito  menos","  Paulo ato no less right"
"pec  fim  mundo aprovada    placar  53  16  senadores aprovam congelamento  gastos públicos   famosa pec 55 antiga 241  20 anos  retrocessos aprovados    breve  posicionamento oficial  une  forapecforatemer","Pec end world approved score 53 16 senators approve freezing public spending famous pec 55 old 241 20 years setbacks approved brief official positioning une forapecforatemer"
"ainda  ufmt universidade federal  mato grosso estudantes acabam  ocupar  reitoria  universidade contra  pec 55  aqui   arrego ocuparemos  lutaremos  resistiremos contra  desmandos  desgoverno temer  forapecforatemer","Still ufmt federal university mato grosso students end up occupy university reitor against pec 55 here we will occupy we will fight we will resist against misdemeanors dread forapecforatemer"
"trancaço  cuiabá hoje  manhã  frente  universidade federal  mato grosso ufmt contra  pec 55  estudantes   ruas  universidades  todo  brasil  barrar  pec  morte  forapecforatemer","Brazil cuiabá today morning front federal university mato grosso ufmt contra pec 55 students streets universities all brazil barrar pec death forapecforatemer"
" param  pec  paramos  brasil   movimentações  dia nacional  luta contra  pec 55   reforma  previdência começaram logo cedo  ufc   fortaleza   estudantes promoveram trancaço  contrapec55 reformanão foratemer"," Param pec paramos brazil movements day national fight against pec 55 reform previdência began early ufc fortaleza students promoted contrapec55 reinformanão foratemer"
" golpe é contra  educação   confirmando   vez   golpe é contra  educação   conquistas  últimos anos    expansão  universidades   certeza  maior avanço  período recente  perfil  universitário mudou radicalmente   universidade começava   popularizar  ontem dormimos   aprovação  medida provisória 746   reforma  ensino médio   câmara  deputados  hoje acordamos   congelamento  vagas  universidades federais   luta continua  aceitaremos   retrocesso  noticiasgeral mecdecidecongelarampliacaodevagasemuniversidadesfederais 10000093242"," Is against education confirming time blow is against education achievements last years expansion universities certainty advance more recent period university profile radically changed university began to popularize yesterday we are sleeping approval provisional measure 746 reform high school chamber deputies today we agreed freezing vacancies federal universities fight will continue we accept backwardness general news mecdecidecongelamplandofwildsuniversitiesfederals 10000093242"
"  vida imita  arte     contente   presidente  queria trocar","  Life imitate art happy president wanted to change"
"  grande manifestação   acabou   repressão  polícia militar  liga  cobertura  une  união nacional  estudantes sobre  ocupabrasília durante  votação  pec 55","  Large demonstration ended repression military police league coverage unites national union students on ocupabrasília during voting pec 55"
"une  união nacional  estudantes updated their cover photo","Join national union students updated their cover photo"
"enquanto boa parte  brasil ficava  luto  enquanto estudantes  trabalhadores  recebidos  bala   destino  traçado  michel temer   breve   ligações  61 senadores   foratemer estudantescontrapec","While good part Brazil was mourning while students workers received bullet destination traced michel fear brief links 61 senators foratemer studentscontrapec"
" repressão continua  brasília  polícia  forma truculenta  antidemocrática joga bombas  atenta contra  manifestantes voltamos  afirmar   ato hoje transcorria  forma pacifica     polícia começou  investida estudantescontrapec ocupabrasília"," Repression continues brasília police form truculenta antidemocratic plays bombs attentive against protesters we return affirm today act happened pacifica police began invested studentscontrapec ocupabrasília"
"presidenta  une  carina vitral  fala  vivo  brasília sobre  repressão policial estudantescontrapec","President unite carina stained glass speaks brasília about police repression studentscontrapec"
"nota  une sobre  atuação  pm  ato  brasília   união nacional  estudantes afirma   manifestação organizada  movimentos estudantis  sociais neste dia 29  novembro  brasília   ato pacífico  democrático  livre contra  pec 55     votação  senado    incentivamos qualquer tipo  depredação  patrimônio público  violência  meio    50 mil manifestantes     assusta   deixa perplexos é  polícia militar  governador rolemberg df jogar bombas  efeito moral  gás  pimenta  cavalaria  balas  borracha contra estudantes  alguns menores  idade   protestavam pacificamente    nada  é    reflexo   governo autoritário  ilegítimo      mínimo  senso  diálogo","Note unite about action pm ato brasilia union national students affirms organized demonstration social student movements this day 29 november brasília ato pacific democratic free against pec 55 vote senate we encourage any kind of depredation public patrimony violence half 50 thousand demonstrators frightens leaves perplexes is military police governor rolemberg df Throw bombs effect moral gas pepper cavalry bullets rubber against students some minor age protested peacefully nothing is reflex government authoritarian illegitimate minimal sense dialogue"
"acompanhe agora votação contra  pec 55  direto  senado federal  estudantescontrapec ocupabrasília ocupatudo","Follow now vote against pec 55 direct federal senate studentscontrapec ocupabrasília ocupatudo"
"atenção   todas  caravanas ponto  encontro agora  urgente  frente  catedral  brasília  reunião  atendimento  feridos  estudantescontrapec ocupabrasília","Attention all caravans point meeting now urgent front cathedral brasilia meeting attendance injured studentscontrapec ocupabrasília"
"brasília","Brasilia"
"todos  biblioteca nacional  concentração   grande ato  estudantescontrapec ocupabrasília","All national library concentration great act studentscontrapec ocupabrasília"
"vamos barrar  pec 55 estudantescontrapec ocupabrasília","Let's cut the pec 55 studentscontrapec ocupabrasília"
"juventude grita pec  juventude grita pec    estudantes  ativistas  vieram barrar  pec 55    votada hoje  senado federal puxam palavras  ordem  porta  mec  durante  ensaio geral  baterias  participaram  ato hoje   estudantescontrapec ocupabrasília contrapec55   vídeo danilo ramos","Youth screams pec youth screams pec activists students came barred pec 55 voted today senate federal pull words order mec mec during rehearsal general batteries participated act today studentscontrapec ocupabrasília contrapec55 video danilo ramos"
" perca nenhum movimento  dia  amanhã  brasília  ative  notificações  saiba   une entrar  vivo    movimentos  educação  encontram amanhã  bsb   barrar  pec 55 contrapec55 foratemer   ajude  caravanas  estudantes  brasília deposite qualquer valor  conta  une   banco  brasil agência 7067x conta corrente 66354 união nacional  estudantes cnpj 29258597000150"," Lose no movement day tomorrow brazil activate notifications learn join live movements education find tomorrow bsb barrar pec 55 contrapec55 foratemer help caravans students brasilia deposit any amount account bank brazil agency 7067x current account 66354 national union students cnpj 29258597000150"
"amanhã grande ato contra  pec 55   fique ligado  evento  concentração  biblioteca nacional  16h  foratemer estudantescontrapec  evento  2fxzfq7","Tomorrow big act against pec 55 stay connected event national library 16h foratemer studentscontrapec event 2fxzfq7"
"voltamos  av paulista 100 mil  ruas","Back to São Paulo av. 100 thousand streets"
"direto  paulista","Direct from São Paulo"
"comunicado urgente  informamos  josé mujica  ex presidente  uruguai  desmarcou  vinda  brasil  razões pessoais  frente povo  medo  rearticulando  vinda    próximo mês  dezembro além disso   expresidente lula   estará presente  diante  urgência  luta contra  pec55    votada  congresso federal  próximo dia 29   frente povo  medo mantém  convocação   mobiliza milhares  pessoas  lotar  av paulista  próximo domingo    marcha caminhará  centro  cidade  contará   participação  movimentos sociais  artistas  é nesse domingo  confirme presença 27contrapec","Urgently, joseph, president, president, uruguay, president, president, president, president, next, people, president, president, president, next, 29 Sunday march will walk downtown will count participation social movements artists is on this Sunday confirm presence 27contrapec"
"2911  ocupa brasília contra  pec 55   participe doe  inscreva vamos barrar  pec 55  bsb   confirme presença  evento  contabbune   deposite  conta  banco  brasil agência 7067x conta corrente 66354 união nacional  estudantes cnpj 29258597000150","2911 occupies Brasília against pec 55 participate and do not register pec 55 bsb confirm attendance event contabbune deposit account bank brazil agency 7067x current account 66354 national union students cnpj 29258597000150"
"enfrentando  distâncias  barrar  pec  ursula  juliana  estudantes  ufrb universidade federal  recôncavo baiano   duas   cruz  almas ba  brasília df  carona  36h  viagem  boléias  caminhão  carro  muita vontade  compor  plenária  ocupações  dias 14  15  novembro  capital federal   estudantes  todo  brasil  seguindo  exemplo  juliana  ursula indo  caravanas  brasília  barrar  pec 55   próximo dia 2912  ajude  caravanas  chegarem  brasília    quer ir  caravana  contabbune  deposite  conta  banco  brasil agência 7067x conta corrente 66354 união nacional  estudantes cnpj 29258597000150","Facing distances bar ursula juliana students ufrb university federal recôncavo baiano two cross souls ba brasília df carona 36h trip bolas truck car much will compose plenary occupations days 14 15 november capital federal students all brazil following example juliana ursula going caravans brasília barrar pec 55 next day 2912 help caravans get brasilia want to go caravana contabbune deposit account bank brazil agency 7067x current account 66354 national union students cnpj 29258597000150"
"resistimos  ocupabrasília  é dever  todo estudante brasileiro ir pras ruas pra barrar  pec  fim  mundo    investimento social    ter teto    ter piso    ter  minimo    confirme presença  evento  contabbune  deposite  conta  banco  brasil agência 7067x conta corrente 66354 união nacional  estudantes cnpj 29258597000150","We resist ocupabrasília is duty all Brazilian student go to the streets to end the world end social investment have roof have floor minimum attendance event contabbune deposit account bank brazil agency 7067x current account 66354 national union students cnpj 29258597000150"
"oficina  libras organizada  comando  greve  geologia ufpr apoio  ocupações   temer 3  ocupaufpr","Office pounds organized command strike geology ufpr support occupations fear 3 ocupaufpr"
"contra  criminalização  movimento estudantil   movimento  ocupação  escolas  universidades mostrou  resistência  ousadia histórica  movimento estudantil  lutar contra  retrocessos  educação brasileira  ditadura militar   primeiros  serem perseguidos  agora  governo ilegítimo quer criminalizar  movimento estudantil   entidades representativas diga   criminalização  movimento estudantil","Against criminalization movement student movement occupation schools universities showed resistance daring historical student movement fight against kickbacks education brazilian dictatorship military first persecuted now government illegitimate wants to criminalize student movement representative entities say criminalization student movement"
"assembleia geral  estudantes ufmt","General assembly students ufmt"
"estudante  ufrj leonardo guimarães  presidente  ueerj  debate  ministro mendonça filho ","Student ufrj leonardo guimarães president ueerj debate minister mendonça son"
"faça  doação  confirme presença  evento  contabbune  deposite  conta  banco  brasil agência 7067x conta corrente 66354 união nacional  estudantes cnpj 29258597000150","Donate confirmation attendance event contabbune deposit account bank brazil agency 7067x current account 66354 national union students cnpj 29258597000150"
"direto  ufmg  luanna presidenta  união estadual  estudantes  minas gerais  fala sobre  invasão  polícia  campus  universidade  hoje  manhã","Direct ufmg luanna president state union students mines general talks about invasion police campus university today morning"
"urgente   polícia militar  minas gerais acaba  invadir  ufmg entraram atirando contra  ocupações  jogando bombas  gás  inclusive contra  creche  é  absurdo","Urgent military police mines general invades ufmg entered shooting against occupations throwing gas bombs even against daycare is absurd"
" caravana  estudantes contra  pec 55   mp74616  brasília  dia 2911    quer ir  caravana  contabbune   deposite  conta  banco  brasil agência 7067x conta corrente 66354 união nacional  estudantes cnpj 29258597000150   vamos aquecer  luta  quatros cantos  brasil  dia 25  novembro   mobilizações  capitais  conjunto   trabalhadores  movimentos sociais    preparativo  chegarmos   capital   país  dia 29  novembro  dia  votação  pec 55 241  senado  derrubada  pec   retirada  mp 74616   contra  lei  mordaça     estudantes junto  todo movimento educacional estarão  postos  resistir contra  assalto   futuro  inscreva  participe desta grande caravana obs  preenchimento deste formulário  assegura vaga  caravana  confirmação  condicionada  número total  lugares disponíveis  estado  ocupatudo contrapec55 contramp746"," Caravan students against pec 55 mp74616 brasilia day 2911 wants to go caravan contabbune deposit account bank brazil agency 7067x current account 66354 national union students cnpj 29258597000150 we will fight fight quatros cantos brazil day 25 november mobilizations capitals set social movements workers prepare to arrive capital country day 29 november day Vote pec 55 241 senado tipped pec withdrawal mp 74616 against law gag students together all educational move will be put up resist against assault future inscribe participate in this great carav fill this form assures vacancy caravan confirmation conditioned total seats available ocupatudo state contrapec55 contramp746"
"2º dia  reunião  diretoria  une   ocupações  todo  brasil   brasília ocupatudo contrapec55","2nd day board meeting unites occupations all Brazil brasilia ocupatudo contrapec55"
"estudantes  luta   veja    viagem   primeiro dia  reunião  diretores  une   ocupações  todo  brasil   brasília  estudantes brasileiros provam   luta  saem    retiram    resistência  vão barrar  pec 55 ocupatudo contrapec55","Students fight see first trip meeting officers directors occupations all brazil brasília brazilian students prove fight come out resist resistance go barrar pec 55 ocupatudo contrapec55"
"reunião diretoria  une  ocupações universitárias  todo  brasil   brasília contrapec55 ocupatudo","Board meeting unites university occupations all Brazil brasilia contrapec55 ocupatudo"
"rumo  brasília   ônibus emperrou    muita unidade saiu  buraco vai avançar  unidade popular  thallita oshirocuca  une","Bearing brasília bus stuck a lot drive left hole will move thallita oshirocuca unity popular unit"
"caravana  diretores  diretoras  entidades estudantis   conjunto  ocupações acabam  partir   paulo rumo  brasília","Caravan directors directors student entities joint occupations end from paulo bearing brasilia"
"unidade é  nome  luta     8 mil pessoas  rua  dia nacional  paralisação 1111 contra  pecdofimdomundo diversos coletivos  movimentos  entidades somam forças contra  retrocesso  capital carioca     milhares  cidades     tom ecoaram  brasil naoapec55  pec 241  senado federal  foto joão leonardo cuca  une","Unit is name fight 8 thousand people street day national stoppage 1111 against pecdofimdomundo diverse collective movements entities add forces against retrocesso capital carioca thousands cities tom echoed brazil naoapec55 pec 241 senate federal photo joão leonardo cuca une"
"direto  sé   paulo cruzeosbraços contrapec55","Contact Us"
" vivo ato  dia nacional  greve    paulo cruzeosbraços contrapec55"," Live act national day strike paulo cruzeosbraços contrapec55"
"grande manifestação  movimentos sociais contra  pec 55 antiga 241  belémpa   regiany nascimento   cruzeosbraços","Big manifestation social movements against pec 55 old 241 belémpa regiany birth cruzeosbraços"
" história   ufsm  universidade federal  santa maria dois momentos históricos   1986  assembleia universitária convocada  pedir  defender melhorias  universidade  2016  assembleia universitária contra  pec 55   desmonte  educação promovidos  governo temer   ocupatudo contrapec55"," History ufsm federal university santa maria two moments historical 1986 university assembly convened ask to defend improvements university 2016 university assembly against pec 55 dismantle education promoted government temer ocupatudo contrapec55"
"puc minas gerais  campus  gabriel ocupado    é  segunda ocupação  universidade privada  protesto  alunos  contra  pec 55   prevê congelamento  investimentos  20 anos  objetivo  galera é fortalecer  ocupações  existentes  tantos  escolas quanto  universidades  sobretudo  campus coração eucarístico   sofreu  pedido  reintegração  posse  parte  reitoria  puc   ocupa puc  gabriel","Puc mines general campus gabriel busy is second occupation private university protest students against pec 55 provides for freezing investments 20 years objective galera is to strengthen existing occupations as many schools as universities mainly campus eucharistic heart has undergone application reintegration posse part rectoria puc ocup puc gabriel"
"jogral  estudantes  senado  após terminar  fala  audiência pública  examinar  mp 7462016   senado federal   presidenta  une  carina vitral  abriu espaço    estudantes presentes pudessem ler  carta  enaltece   voz  todas  ocupações  todo  país    presidente  comissão  liberou  leitura  estudantes  plenário carina  então  convocou  jogral  fez ecoar  voz  todos  presentes assista   contrapec55 contramp746","Student, senate, student, students, students, students, students, students, students, students, students, students, students, students, students, students,"
"renan calheiros impediu  participação  presidentas  une   ubes  carina vitral  camila lanes   sessão  comissão mista  examina  mp 746  reforma  ensino médio é assim   senado federal vai debatendo  futuro  brasil  diálogo   democracia","Renan calheiros impeded participation presidents unites presidents camila lanes montana mixed commission examina 746 reform senate federal is going to debate future federal senate debate democracy"
"lutamos lutaremos ocuparemos   ruas   redes   universidades  todo  brasil  movimento estudantil  presente  mostrando    arrego   troque agora  avatar  apoie ainda   luta  supportocupatudo13  ocupatudo contrapec55","We fight fight we will occupy streets networks universities all brazil present student movement arrego switch now avatar support still fight supportocupatudo13 ocupatudo contrapec55"
"lutamos lutaremos ocuparemos  1111 dia nacional  greve","We will fight we will occupy 1111 national day strike"
" pec 55 é inconstitucional   consultoria  senado federal classifica  pec 55 antiga 241  inconstitucional    conclusão    face  todo  exposto  consideramos   pec  55   2016  tende  abolir  clausulas petreas previstas  incisos ii  iii  iv   4o  art 60  constituicao federal    referem  respectivamente   voto direto  secreto  universal  periodico  separacao  poderes   direitos  garantias individuais  razao   deve ter  tramitacao interrompida  ambito  casas  congresso nacional   leia  parecer pec55inconstitucional contraapec55 contraapecdamaldade"," Pec 55 is unconstitutional consulting federal senate class 55 old 241 unconstitutional conclusion face all exposed we consider pec 55 2016 tends to abolish clauses petreas envisaged subsections ii iii iv 4th art 60 federal constitution refer respectively vote direct universal secret periodic separation rights powers individual guarantees reason must have Interrupted procedure ambito houses congress national read opinion pec55constitutional contraapec55 contraapecdamaldade"
"boasemana","good week"
"mariana maia  diretora  políticas educacionais  une  convoca  todos   greve geral  dia 1111  momento é  luta  unir forças  barrar todos  retrocessos protagonizados  governo temer foratemer nenhumdireitoamenos","Mariana maya director educational policies unites summons all general strike day 1111 moment is fight join forces barred all kickbacks government government fear foratemer no rightright"
"estudantes contra  pec 55  iago montalvão  diretor  relações institucionais  une  participou  semana  audiência pública realizada  comissão  assuntos econômicos  senado iago fez fez  fala contundente  defesa  ocupações  escolas  universidades  resistir  desmonte  educação promovidos  pec 55 antiga pec 241   reforma  ensino médio   veja  vídeo","Students against pec 55 iago montalvão director institutional relations united attended public hearing public affairs commissioned senate iago did fez hardy defense occupations schools universities resist dismantle education promoted pec 55 ancient pec 241 reform high school see video"
"carina vitral dando  contribuição  une  assembleia estudantil  ufrj   conta   participação    mil estudantes seguiremos  ruas   ocupações contra  pec 55 antiga pec 241    bruno boucuca  une","Carina vitral giving contribution unite student assembly ufrj account participation thousand students will follow streets occupations against pec 55 ancient pec 241 bruno boucuca unites"
" vivo  assembléia  estudantes  ufrj contraapec55"," Live assembly students ufrj contraapec55"
" nova edição  jornal  voz   disponível   leitura  versão online  irreverência   capa  publicação traz estampada  pecolé   brincadeira  chamar  atenção   ingredientes perigosos   proposta contém congelar investimentos  áreas  saúde  educação  20 anos 2fm6iff"," New edition journal voice available reading version online irreverence cover publication brings print playfulness prank call attention dangerous ingredients proposal contains freeze investments areas health education 20 years 2fm6iff"
"assembleia geral  estudantes  ufc   ocupatudo","General assembly students ufc ocupatudo"
" amor  menos ódio  tá tendo book  casamento  frente  ocupações    é  maior organização estudantil  história   país  brasil precisa ver  imagem"," Love less hate is taking book wedding front occupations is largest student organization history country brazil needs to see image"
"veja   diz  secretário  educação  distrito federal   júlio gregório  secretário  educação  distrito federal  deu  palavrinha durante  reintegração  posse  cemab centro  ensino médio ave branca    colégio   juiz autorizou práticas  tortura    estudantes desocupassem  precisamos discutir  debater  pec 241   impactos  educação   saúde","Education secretary federal district education federal district federal government high school high school judge judge judge authorized permission practice torture students students training vacate 241 impacts education health"
"vídeo  momento exato   centenas  estudantes chegam  ocupação  reitoria  unb  noite  ontem  casa  darcy ribeiro  anísio teixeira volta  ter destaque  luta  educação pública   mão  unidade  estudantes  instituição contraapec55 foratemer","Video exact moment hundreds students arrive occupation rectory unb night yesterday home darcy brook anísio teixeira back stand out fight education public school hand unit students institution counterapec55 foratemer"
"assembléia histórica  estudantes  unb decidiu ontem  ocupação  reitoria  contra  pec 55 veja   falou  carina vitral  presidenta  une","Historic assembly students decided yesterday occupation rector against pec 55 see carina stained glass president unites"
"caio teixeira  2º dir  cultura  une  convida todos  todas  participar  10ª bienal  une   acontece  2901  0302   fortaleza  ce   faça  inscrição 10bienalcoberturacolaborativa  10bienaldaune aunesomosnós","Caio teixeira 2nd dir culture unites invites all to all participate 10ª bienal une happens 2901 0302 fortaleza ce do sign up 10bienalcoberturacolaborativa 10bienaldaune aunesomosnós"
"conta pra gente","Tell us"
" vivo  assembleia  estudantes  unb sobre  pec 241"," Live assembly students unb on pec 241"
"  vez  ana júlia  jovem secundarista  paraná  deu  show hoje   audiência  senado   afirmou   vez   gente ergue  cabeça  fala  acredito  educação pública   acredito  futuro  brasil    vou continuar lutando    vamos continuar lutando pacificamente  avante  via carina vitral","  Time, ana, julia, secondary, paraná, gave, today, hearing, senate, affirmed, time, people, raise, head, speak, believe, public education, believe, future, Brazil, I'll keep on fighting."
" som   paródia  anitta  estudantes explicam  ocupações  escolas  universidades  todo  brasil   contraapec55 contraapecdamaldade"," Sound parody anitta students explain occupations schools universities all brazil contraapec55 contraapecdamaldade"
" precisam ver  vídeo  estudante  vamos governar   ricos  senhora ryca  ótimo    favor     ódio é  classe    odeiam  termos adentrado  porta  frente  universidades  prouni  cotas  assim querem desocupar  escolasuniversidades    pec 241  aprovada  resistência alguma   vídeo  tentativa  desocupação  colégio estadual lysímaco ferreira  costa  curitibapr confira  vídeo  compartilhe   vídeo giorgia prates"," Need to see video student we will govern rich lady ryca great favor hate is class hate terms in front door universities prouni quotas so want to vacate schoolsuniversities pec 241 approved resistance some video attempt vacancy state college lysímaco ferreira coast curitibapr check out video share video giorgia prates"
"uems universidade estadual  mato grosso  sul campus paranaíba ocupada  cada canto  brasil  estudantes demonstram resistência","Uems state university mato grosso south campus paranaíba occupied every corner brazil students demonstrate resistance"
" assembleia  estudantes  ufpa  campus castanhal definem  ocupação  próximos passos  movimento  universidade contraapec55 contrapecdamaldade"," Assembly students ufpa campus castanhal define occupation next steps movement university counterapec55 contrapecdamaldade"
"ufrpe  campus garanhuns uag ocupado contraapec241 contrapecdamaldade","Ufrpe campus garanhuns uag busy counterapec241 contrapecdamaldade"
"câmara  vereadores  juazeiro  norte ocupada contra  pec 241  reforma  ensino médio  contra  aumento  salário  vereadores contraapec241","Council councils north juazeiro occupied against pec 241 reform high school against increase salary councilors contraapec241"
"ufpa  campus cametá ocupado contraapec241","Ufpa campus cametá busy counterapec241"
"pegos  flagra promotor  mp  pm violam direitos  jovens  ocupação  tocantins   prova  mentira  contrário    ministério público   polícia militar afirmaram    diálogo   estudantes   aconteceu  abuso  autoridade  truculência  desrespeito  humilhação  promotor  aparece dando ordem  desocupação  voz  prisão  estudantes    seguida  algemados  retirados  escola é  escândalo  criminalizem  movimentos    juventude  via lindbergh farias","Apprehended, imprisonment, mp, violate, rights, youth, occupation, tocantins, proof, lie, contrary, public ministry, police, military, affirmed, dialogue, students, happened, abuse, authority, truculence, disrespect, humiliation, prosecutor, appearing, giving, order, vacating, prison, prisoners, students, shackled, school, shackled, criminalization, youth, via lindbergh, farias"
"  pertence  escola  ana julia  estudante secundarista  16 anos  dá  show  eloquência   aula sobre  ocupações   comunidade escolar   deputados  assembleia legislativa  paraná    paraná é  estado   maior número  ocupações  agora    800   estudantes secundaristas   universitários ocupam escolas  universidades contra  pec 241   reforma  ensino médio   arrego contraapec241 contraareformadoensinomedio","  Belongs school ana julia high school student 16 years gives lecture eloquence class about occupations school community deputies parliamentary assembly paraná paraná is state greater number occupations now 800 students high school students occupy schools universities against pec 241 reform high school arrego contraapec241 contraareformadoensinomedio"
" vivo movimentos sociais param  paulista contraapec241"," Live social movements param paulista contraapec241"
