"pt","num"
"Notícias publicadas 21 de novembro de 2016. https://t.co/0w27NXX2gI  #WagnerAdvogados #ServidorPúblico #PEC55 https://t.co/CaKVBCRIbb",1
"Bom dia. Semana começa c/vários debates sobre #PEC55. Ao vivo na TV @SenadoFederal debate sobre PEC55 x… https://t.co/1HSZDsCK1R",1
"Assista a audiência público agora AO VIVO: https://t.co/malSXq9viK #PEC55 #PECdaMORTE",1
"RT @j_livres: Belém

Ato político cultural contra #Pec55 na Pça da República

Iniciativa professores, técnicos e alunos da UFPA

p/Lorenna…",1
"Meu sono está morto
Não quero dormir só quero ocupação
Acha que tens o que é necessário para esmagares minha PEC55?
Clica aqui",1
"O governo é ilegítimo, não pode decidir sobre a PEC 55 #PEC55 #PEC241 #responsabilidadeFiscal #ForaTemer https://t.co/oJgPgdPZfd",1
"Décryptage de la #PEC55, ce projet gouvernemental de gel des dépenses publiques qui crée la controverse au #Brésil https://t.co/25753A2d4S",1
"RT @letiferreira__: hj fui na UPA/SUS e só digo uma coisa: a PEC55 vai ser aprovada e quem n tem plano de saúde é melhor n ficar doente nos…",1
"RT @Mavsampaio: Vamos acessar o site do @SenadoFederal analisar e opinar sobre a PEC55!
https://t.co/FLtZ0U41cd https://t.co/EV4jbu7a9t",1
"Excelente didática sobre a PEC55 em uma conotação administrativa!!! https://t.co/VrF6PoAZFq",1
"Povo de SP, vai rolar ato contra a PEC55 dia 27, na Av. Paulista, 15 h. Fazer pressão por aqui é válido, mas ñ substitui ir às ruas. Avante!",1
"RT @MarivoneProf: ' APRENDA A SEPARAR O LIXO \",1
"No Marrom é pra colocar bosta ! ...kk",1
"#ForaTemer",1
"NÃO À #PECdaMaldade #PEC55 https://t.co/Qq…\"",1
"#PEC55
Campanha online
#Senadores
#VotemPeloBrasil
e
#DesocupaTemer

https://t.co/8TuQLAEQjh",1
"\\"Faça o que eu digo e não o que faço\",1
"Bom dia pra quem tem vergonha desse presidente...",1
"#Temer",1
"#pec55 https://t.co/ZenssPnsnG\"",1
"Especialistas alertam que #PEC55 (241) prejudicará seguridade social e ampliará brutalmente a desigualdade no Brasil https://t.co/5GAoVjZLps",1
"Fechamento d agências do BB #Pec55 byebye pré-sal, aposentar aos 70

Parabéns pobre d direita q pediu impeachment e agora ta com o cu na mão",1
"RT @MarceloACoelho1: #DevolveRenan
se soubesse o nível da espetacularização
teria devolvido
#VoltaDilma
#OcupaTudo
Serra 23 milhões
#LutarÉ…",1
"Diário CACIC.UFRN já saiu! https://t.co/mcvcmTUz5N Graças a @Blog_CF @CGUonline @SenadoFederal #pec55 #dadosabertos",1
"RT @MarivoneProf: \\" O PODEROSO PUTIN AO ENCONTRAR COM O GOLPISTA  TEMER\",1
"&gt",1
"#PECdaMaldade  PEC55 NÃO ! https…\"",1
"RT @ptbrasil: A #PEC55 e o mito do descontrole da dívida pública, leia artigo da senadora @gleisi: https://t.co/sSrnqzWCJp",1
"RT @ptbrasil: Os senadores pedem a confirmação da liminar e o arquivamento definitivo da #PEC55. https://t.co/UCsmemEyF1",1
"RT @ptbrasil: Estudantes repudiam a MP do ensino médio, a #PEC55 e a Lei da Mordaça. https://t.co/Lu05uQ9iaF",1
"#Pra #Quê   #Pec55 ???? https://t.co/X4pTKIB44n",1
"Mamilospod MUITO OBRIGADO pelo programa sobre a #pec241, foi incrível ouvir tudo o que vocês falaram. #pec55

— Drama King (carlos_casca) N…",1
"RT @carlos_casca: @Mamilospod MUITO OBRIGADO pelo programa sobre a #pec241, foi incrível ouvir tudo o que vocês falaram.  #pec55",1
"papai noel com roupa de frio, bota e neve; Temer no governo, Pec55 (...) tanta coisa que não faz sentido nesse brasil",1
"RT @JenSoares73: O #BANQUETE DA MORTE #DiaDaConscienciaNegra #ConscienciaNegra #racismo #zumbidospalmares #Zumbi #PECdaMaldade #PECdaMorte…",1
"@FrancisWudson @thepatricao então o q defende? Vc é a favor ou contra a PEC55? Vc foi a favor do Impeachment? Vc acha q Lula ñ sabia d nada?",1
"@Caiado_2018 @ronaldocaiado entendendo de modo simples e prático a PEC55 https://t.co/9saVZZQnfi . Ñ podemos cometer injustiças! Repassem",1
"O #BANQUETE DA MORTE #DiaDaConscienciaNegra #ConscienciaNegra #racismo #zumbidospalmares #Zumbi #PECdaMaldade… https://t.co/bAxlVAJ2R7",1
"O PT é contrário a PEC55 da mesma maneira que foi  contra o Plano Real, lei de responsabilidade Fiscal e a constitu… https://t.co/QWMzZOml8V",1
"O previsível roteiro político do golpe (artigo Ricardo Gebrim) https://t.co/GOmaLBNqBF #ForaTemer #PEC55 #PECdoFimDoMundo #PECdaMorte",1
"O previsível roteiro político do golpe (artigo Ricardo Gebrim) https://t.co/GOmaLC51td #ForaTemer #PEC55 #PECdoFimDoMundo #PECdaMorte",1
"Bonito viu @Inep_Imprensa  fica de cuzisse.... e o jantar da #PEC55 vai custar quanto???? deveriam retirar a porra… https://t.co/kqwmzp4JhF",1
"#PEC55 prejudicará estados e municípios https://t.co/xMV46tDsa8 #ForaTemer #PECdoFimDoMundo #PECdaMorte",1
"Sono veio e vou com ele. Ótima 2ª a todos os amigos que apoiam NÃO 
#PECdaMaldade que é PEC55 no Senado e… https://t.co/ypb73WXp8k",1
"RT @MarivoneProf: HOJE É DOMINGO......DIA DE CERVEJA  \\" ESPECIAL\\" ...kk
#ForaTemer a reação continua.
#PECdaMaldade  que é a #Pec55 NO SENA…",1
"RT @MarivoneProf: \\" HOJE É DOMINGO......TEM  SOPA  PATRIOTA \\" ...kk
&gt; #ForaTemer &lt; a reação continua.
#PECdaMaldade  PEC55 NÃOOOOOOO https:…",1
"RT @MidiaNINJA: #SP Contra a PEC55 Pelo Fora Temer! Pelas Liberdades Democráticas!
 Dia 27 (dom), Ato na Paulista, às 15h! Confirme: https:…",1
"HOJE É DOMINGO......DIA DE CERVEJA  \\" ESPECIAL\\" ...kk
#ForaTemer a reação continua.
#PECdaMaldade  que é a #Pec55 N… https://t.co/OJZRxo1Iiu",1
"RT @vanessasenadora: Temer quer aprovar a qualquer custo a #PEC241, agora no Senado #PEC55, que congela recursos da saúde e da educação, de…",1
"#PEC241 #PEC55 https://t.co/DTyDvmVaHi",1
"RT @vermelhoce: Especialistas alertam que #PEC55 (241) prejudicará seguridade social e ampliará brutalmente a desigualdade no Brasil https:…",1
"RT @meirelesff: Nature sobre o efeito da PEC55 na ciência brasileira: congelar por 20 anos um orçamento que é o menor dos últimos 7 https:/…",1
"\\" O PODEROSO PUTIN AO ENCONTRAR COM O GOLPISTA  TEMER\",1
"#PECdaMaldade  PEC55 NÃO ! https://t.co/2qkspVufeR\"",1
"RT @Laura_Diz: #vomitaço #ForaTemer #PEC55 https://t.co/Sl5xrmc2Ql",1
"Nature sobre o efeito da PEC55 na ciência brasileira: congelar por 20 anos um orçamento que é o menor dos últimos 7 https://t.co/brUcBiXBy5",1
"#PEC55 https://t.co/oOUWH9iA7A",1
"\\" HOJE É DOMINGO......TEM  SOPA  PATRIOTA \\" ...kk
&gt; #ForaTemer &lt; a reação continua.
#PECdaMaldade  PEC55 NÃOOOOOOO https://t.co/omCMm85QJN",1
"RT @MarivoneProf: \\" QUE NOITE LINDA.....FAZ UM PEDIDO SNOOPY. \",1
"#PECdaMaldade  que é a  #PEC55 NÃOOOOOOO…\"",1
"\\" QUE NOITE LINDA.....FAZ UM PEDIDO SNOOPY. \",1
"#PECdaMaldade  que é a  #PEC55 NÃOO… https://t.co/toIlzhsKCy\"",1
"RT @PTnaCamara: #MaisLidas Comissão de Fiscalização Financeira e Controle faz seminário para debater #PEC241 #PEC55 https://t.co/yzs8BouHlE…",1
"Os senadores pedem a confirmação da liminar e o arquivamento definitivo da #PEC55. https://t.co/7kavkTHAOq by #ptbrasil via @c0nvey",1
"' APRENDA A SEPARAR O LIXO \",1
"NÃO À #PECdaMaldade #PEC55 https://t.co/QqSGpz0YSy\"",1
"RT @ptbrasiI: Leia artigo da senadora gleisi sobre a #PEC55: https://t.co/RihTSRCqlv",1
"#MaisLidas Comissão de Fiscalização Financeira e Controle faz seminário para debater #PEC241 #PEC55 https://t.co/yzs8BouHlE com @LeoDoPT",1
"Retweeted Jornalistas Livres (@j_livres):

Belém

Ato político cultural contra #Pec55 na Pça da República... https://t.co/F5sVzUXel6",1
"Belém

Ato político cultural contra #Pec55 na Pça da República

Iniciativa professores, técnicos e alunos da UFPA… https://t.co/s2lMkRTHEO",1
"caralho o sid falou da pec55 o cara nem sabe o que é, pensou que ele tivesse falado do album do costa 155 kkkkkkkk",1
"RT @oguivasconcelos: Será que até a @nature também é petista? Se nem isso te convencer é melhor ficar na veja mesmo! #pec55 https://t.co/YZ…",1
"RT @ptbrasiI: A #PEC55 e o mito do descontrole da dívida pública, leia artigo da senadora gleisi: https://t.co/RihTSRCqlv",1
"Os senadores pedem a confirmação da liminar e o arquivamento definitivo da #PEC55. https://t.co/e3suum2ZE1 by #ptbrasil via @c0nvey",1
"MENTIRA CRIMINOSA
Recruta da #GloboGolpista diz correção p inflação é mesmo q crescimento dos gastos e q juros já p… https://t.co/wEMmpGW1j0",1
"RT @ivonepita: #PEC55, #ReformaDaPrevidência e os signos https://t.co/YD34er0RIk",1
"RT @redebrasilatual: UNE: 'Brasília vai virar a capital das ocupações', dia 29, contra #PEC55 https://t.co/DNUdJwZnu2 https://t.co/fk52DCgG…",1
"@Mamilospod MUITO OBRIGADO pelo programa sobre a #pec241, foi incrível ouvir tudo o que vocês falaram.  #pec55",1
"Especialistas alertam que #PEC55 (241) prejudicará seguridade social e ampliará brutalmente a desigualdade no Brasil https://t.co/YZxVs1yMeJ",1
"#PEC55, #ReformaDaPrevidência e os signos https://t.co/YD34er0RIk",1
"RT @oobservadorbr: Revista \\"Nature\\" mostrando a batalha dos cientistas brasileiros p/ não se ferrarem com a PEC55 (ex-PEC241)...

https://t…",1
"Revista \\"Nature\\" mostrando a batalha dos cientistas brasileiros p/ não se ferrarem com a PEC55 (ex-PEC241)...

https://t.co/zGGsXeLqA9",1
"RT @PersonalEscrito: #Brazil: Police beat up a photographer at demo against the austerity bill in #RiodeJaneiro. #PEC55 #PECdoFimDoMundo ht…",1
"RT @PSDBcard: Não deixe este vídeo morrer 

\\"certeza na frente e a história na mão\\".

#PEC241 #PEC55 #PecDoFimDoMundo 

  https://t.co/6wSE…",1
"Elas tavam protestando contra a #pec55 no Rio, o JN cobria ao vivo e elas interrompiam o repórter pra repudiar.",1
"#VEMPRARUA : #Brasilnasruas20Nov #CORRUPCAONAO #FORATEMER #PEC55 #PEC241 #NÃO ! https://t.co/CyH2JKOJLQ",1
"@Douglas_TRIBR ligar... Uma ação ter efeito não significa q a #pec55 seja modificada imediatamente. É difícil p vc entender... entendo!",1
"Repercussão internacional sobre impacto da #PEC241 #PEC55 na pesquisa científica brasileira.",1
"Depois de 6 anos de \\"ajustes\\" na Europa seguem pedindo +<U+2702><U+2702>. #PEC55 #PECdoFimdoMundo não é solução para o Brasil https://t.co/LEOqTjhjrq",1
"RT @PersonalEscrito: [VIDEO] Brazilian federal government sent hundreds of military police to help the repression in #RiodeJaneiro. #Alerj…",1
"Vamos pra cima contra a PEC55- Do fim do mundo!
.   -NENHUM DIREITO A MENOS <U+270A> https://t.co/wwaxjD9PRB",1
"RT @Castro2Monica: Jornal local fala da greve da UFMG contra Pec55 como uma displicência de quem está comprometido com a desinformação.",1
"@SenadoFederal golpista. #PEC55 “Nós somos a bola da vez dos golpistas” https://t.co/lh6ivBjARI  #golpe #ConsciênciaNegra",1
"RT @PTnaCamara: \\"DESIGUALDADE PARA MIM É INVEJA\\" | Esse é o pensamento por trás da INTELLIGENTZIA brasileira que defende a #PEC241 #PEC55 h…",1
"RT @laurasito: Daqui a pouco estarei em Cachoeirinha conversando com a população sobre os impactos da PEC55 sobre a população... https://t.…",1
"RT @jjaimebr: RT @PSDBcard Não deixe este vídeo morrer.\\"certeza na frente e a história na mão\\".
#PEC241 #PEC55 #PecDoFimDoMundo 
  https://…",1
"Até a Nature acha a PEC55 algo ruim, só não vê quem não quer ou quem não leu a PEC  e raciocinou direito. https://t.co/gGichO8qsp",1
"Daqui a pouco estarei em Cachoeirinha conversando com a população sobre os impactos da PEC55 sobre a população... https://t.co/duRySeuiND",1
"Weitere Proteste gegen Festsetzung der Staatsausgaben in #Brasilien | amerika21 https://t.co/DIqncgptmm",1
"RT @ptbrasiI: Centrais Sindicais e movimentos sociais e estudantis se organizam para ir à Brasília contra a #PEC55.  https://t.co/KDArmKIg9N",1
"Estudantes repudiam a MP do ensino médio, a #PEC55 e a Lei da Mordaça. https://t.co/bWPmFfYifS",1
"Estudantes repudiam a MP do ensino médio, a #PEC55 e a Lei da Mordaça. https://t.co/Lu05uQ9iaF",1
"RT @maluz_br: Trabalhador NÃO é descartável ! 
#Resistam a PEC55 e #ForaTemer ! https://t.co/IRrOX4CJ5Z",1
"RT @renam: O onzeroum diário já saiu! https://t.co/w1bLIZgUzH Com a colaboração de @CherieBlesse @andrebarbosa68 #pec55 #g1",1
"A PEC55 é só o começo do pacote de maldades do.desgoverno golpista de MiShell Temer.  A previsão é que o... https://t.co/f9mWLzAZf2",1
"RT @Buchada_de_Bode: Contra a PEC55! Pelo Fora Temer! Pelas Liberdades Democráticas!
Domingo,  27, na Av. Paulista, às 15h0p Confirme: http…",1
"RT @FORUMZN: The latest The Big Forum da ZN Daily! https://t.co/XpoZ6BPe2O Thanks to @RaymontCS #pec55",1
"O Governo é indutor de crescimento, sem dinheiro do governo o país para #PEC55 #PEC241 ##Keynes #intervencionismo… https://t.co/dN6Uu9O7ap",1
"Fake news - Globo, folha, veja  já saiu! https://t.co/Gm5vdJM9hz #pec55 #copa https://t.co/QuaSHssJq1",1
"Fake news - Globo, folha, veja  já saiu! https://t.co/kJKx37SVRM #pec55 #copa",1
"O onzeroum diário já saiu! https://t.co/w1bLIZgUzH Com a colaboração de @CherieBlesse @andrebarbosa68 #pec55 #g1",1
"RT @a_vinagre: The latest Manchetes do dia: por Apio Vinagre! https://t.co/Jyt404ZZAX Thanks to @165b319c7b91483 @ElaineG16 #pec55 #g1",1
"#PEC55 #Pec241 #PecDoFimDoMundo #NãoàPec55 #NãoàPec241 https://t.co/WZGlIGm8Td",1
"The latest Manchetes do dia: por Apio Vinagre! https://t.co/Jyt404ZZAX Thanks to @165b319c7b91483 @ElaineG16 #pec55 #g1",1
"RT @BagaGam: Weitere Proteste gegen Festsetzung der Staatsausgaben in Brasilien | amerika21 https://t.co/RWCWHmgaiM",1
"Weitere Proteste gegen Festsetzung der Staatsausgaben in Brasilien | amerika21 https://t.co/RWCWHmgaiM",1
"RT @ptbrasil: Centrais Sindicais e movimentos sociais e estudantis se organizam para ir à Brasília contra a #PEC55.  https://t.co/TzxKRqCREQ",1
"#PEC55 https://t.co/cd3VEzfnHo",1
"The latest The Big Forum da ZN Daily! https://t.co/XpoZ6BPe2O Thanks to @RaymontCS #pec55",1
"RT @PersonalEscrito: Manifestantes bloqueiam uma das passagens para o rega-bofe da #PEC55 de Temer para os senadores. Via @MidiaNINJA https…",1
"Bolsa de apostas sobre novo escândalo do governo golpista e véspera de PEC55:

Para blindar Temer, e a PEC55 a... https://t.co/K5borL18oD",1
"Diário Twittecológico já saiu! https://t.co/qNBLsdsmUO Graças a @mulhergorila #pec55",1
"RT @marcostalhari: The Marcos Augusto Daily já saiu! https://t.co/JdnA1zF1Vv Graças a @MARIBH2 @REVOLTAPRETA @CleytondeMelo #pec55 #g1 http…",1
"RT @JenSoares73: @MichelTemer, VAI PRA #PEC QUE PARIU! #pec55 #pec55Não #Pecdofimdomundo #ocupatudo #foratemer #anajulia #revoluçãoestudant…",1
"Diário Marcelo justino já saiu! https://t.co/CwidIWh4fn Graças a @RinaldoBarros #tst #pec55 https://t.co/1RGFztX8lZ",1
"Diário Marcelo justino já saiu! https://t.co/nYPpT8SdjE Graças a @RinaldoBarros #tst #pec55 https://t.co/08NfL6HgLd",1
"Diário Marcelo justino já saiu! https://t.co/CwidIWh4fn Graças a @RinaldoBarros #tst #pec55",1
"RT @marcostalhari: The Marcos Augusto Daily já saiu! https://t.co/JdnA1zF1Vv Graças a @MARIBH2 @REVOLTAPRETA @CleytondeMelo #pec55 #g1",1
"The Marcos Augusto Daily já saiu! https://t.co/JdnA1zF1Vv Graças a @MARIBH2 @REVOLTAPRETA @CleytondeMelo #pec55 #g1 https://t.co/6bOONhhCMW",1
"The Marcos Augusto Daily já saiu! https://t.co/cW32FPYUEw Graças a @MARIBH2 @REVOLTAPRETA @CleytondeMelo #pec55 #g1 https://t.co/wdXYvaySTs",1
"The Marcos Augusto Daily já saiu! https://t.co/JdnA1zF1Vv Graças a @MARIBH2 @REVOLTAPRETA @CleytondeMelo #pec55 #g1",1
"Horóscopo: seu futuro daqui a 20 anos. Previsões nada otimistas para as duas décadas de #PEC241NAO 
Ou #PEC55 https://t.co/O49Fl77KmP",1
"Auditoria-Fiscal do Trabalho se manifesta contrária à PEC55 do Governo Temer-PSDB https://t.co/fELETxaqyS",1
"já n basta bostejar contra o feminismo, contra o aborto, a favor do bolsonaro
pra fechar com chave de ouro bosteja a favor da pec55",1
"Nem os tucanos apoiadores do golpe estão de acordo com a #PEC55 #PECdoFimdoMundo https://t.co/TW7AOeQmpZ",1
"E impressionante como  crise  afeta diretamente aos estudantes,  como se nos fossemos os responsáveis pelos maiores gastos
#pec55 #pec241",1
"Centrais Sindicais e movimentos sociais e estudantis se organizam para ir à Brasília contra a #PEC55.  https://t.co/mMNxeHJmOY",1
"The latest The Big Forum da ZN Daily! https://t.co/XpoZ6C6Pro Thanks to @GrupoBeatrice @Linoamorim @kelfiori #trump #pec55",1
"Os senadores pedem a confirmação da liminar e o arquivamento definitivo da #PEC55. https://t.co/ym3zv4f7Ys",1
"Situação vai piorar. Rio crise:principal indústria destruída(naval) e PEC55. https://t.co/u6TklX8i0y",1
"Orgânicos &amp; Agricultura Familiar já saiu! https://t.co/1bJQW1eBmq #pec55 #forapsdb",1
"RT @JenSoares73: SE É POR ISSO, EU BATO NELES DE GRAÇA! #ocupatudo #ocupaalerj #foratemer #ocupareresistir #pec55 #pec55Não #invasão #fasci…",1
"RT @cavlis: #PEC55 ! governo neoliberal contando c/ 55bi de investimentos privados! já ouvi essa \\"estória\\" antes! FMI batendo na nossa port…",1
"Diário do Tadeu já saiu! https://t.co/KujTuNh1zc Graças a @Igortep @Fredfrm @exame #época #pec55",1
"RT @iriabarradas: Retweeted PT Brasil (@ptbrasiI):

A #PEC55 e o mito do descontrole da dívida pública, leia artigo da senadora... https://…",1
"RT @ptbrasiI: Os senadores pedem a confirmação da liminar e o arquivamento definitivo da #PEC55. https://t.co/jwrCzYk3bU",1
"Os senadores pedem a confirmação da liminar e o arquivamento definitivo da #PEC55. https://t.co/jwrCzYk3bU",1
"Os senadores pedem a confirmação da liminar e o arquivamento definitivo da #PEC55. https://t.co/UCsmemEyF1",1
"Retweeted PT Brasil (@ptbrasiI):

A #PEC55 e o mito do descontrole da dívida pública, leia artigo da senadora... https://t.co/Kck4dRHPeu",1
"RT @twittecologico: Diário Twittecológico já saiu! https://t.co/jtsWIHHf4g Graças a @Rodolfoaug7 @passosdoturismo @resp_mutua #sustentabili…",1
"Diário Twittecológico já saiu! https://t.co/jtsWIHHf4g Graças a @Rodolfoaug7 @passosdoturismo @resp_mutua #sustentabilidade #pec55",1
"#PEC55 is the worst form of #neoloberism that also is the worst ever #ideology. I stand with the conscious and emancipated #brazilian masses",1
"A #PEC55 e o mito do descontrole da dívida pública, leia artigo da senadora gleisi: https://t.co/RihTSRCqlv",1
"A #PEC55 e o mito do descontrole da dívida pública, leia artigo da senadora @gleisi: https://t.co/sSrnqzWCJp",1
"#Brazil’s #scientists battle to escape 20-year #funding freeze
https://t.co/IVxWnH3C1C #Science #SouthAmerica #ForaTemer #PEC55 #PEC241NAO",1
"RT @sandraselmadere: https://t.co/hvZQ1qhTzS via @youtube Ao aprovar a PEC55 estamos tirando saúde e educação dos SILENCIOSOS! Silenciosos…",1
"https://t.co/hvZQ1qhTzS via @youtube Ao aprovar a PEC55 estamos tirando saúde e educação dos SILENCIOSOS! Silenciosos = povo brasileiro",1
"#PEC55 Midia defendendo, fazem pose de intelectual!! só pose! gente séria não defende um projeto desses! lembram da defesa das privatarias!!",1
"A PEC 241 agora PEC55 e as suas principais falácias https://t.co/nCXAjw4ATY via @cartacapital",1
"Centrais Sindicais e movimentos sociais e estudantis se organizam para ir à Brasília contra a #PEC55.  https://t.co/KDArmKIg9N",1
"#PEC55 ! governo neoliberal contando c/ 55bi de investimentos privados! já ouvi essa \\"estória\\" antes! FMI batendo na nossa porta de novo!!",1
"Centrais Sindicais e movimentos sociais e estudantis se organizam para ir à Brasília contra a #PEC55.  https://t.co/TzxKRqCREQ",1
"Protestwelle gegen Festsetzung der Staatsausgaben in #Brasilien #austerity... https://t.co/UwOJHXspXa",1
"@JSebastiaoBach @zehdeabreu 
Essa revistinha pertence a Editora Abril,q recebeu milhões do governo ilegítimo para fazer propaganda da PEC55",1
"@MichelTemer, VAI PRA #PEC QUE PARIU! #pec55 #pec55Não #Pecdofimdomundo #ocupatudo #foratemer #anajulia… https://t.co/xbAGlwXq92",1
"Eu quero que o Cabral e Garotinho se fodam, estou preocupado com a PEC55 https://t.co/Wjc0apWtBB",1
"RT @comunicacns: O #CNS e diversos segmentos da sociedade resistem à #PEC55. Leia mais: https://t.co/HUnJ0gmvHK https://t.co/XI1ZY3zv52",1
"RT @wellingtonsrbek: Enquanto lamentamos a vitória do #Trump nas eleições norte-americanas, a #PEC55 avança velozmente no Senado brasileiro!",1
"RT @obrasilonline: Coordenadora da Auditoria Cidadã detona a #PEC55 em Comissão do Senado, assista: https://t.co/HroaDT00BC https://t.co/q1…",1
"RT @PSDBcard Não deixe este vídeo morrer.\\"certeza na frente e a história na mão\\".
#PEC241 #PEC55 #PecDoFimDoMundo 
  https://t.co/6O0zbO2VBT",1
"@AntiCast com a pec55/241 como serão nossos futuros representantes nas Câmaras?",1
"Será que até a @nature também é petista? Se nem isso te convencer é melhor ficar na veja mesmo! #pec55 https://t.co/YZFQwgaEMR",1
"Contra a PEC55! Pelo Fora Temer! Pelas Liberdades Democráticas!
Domingo,  27, na Av. Paulista, às 15h0p Confirme:… https://t.co/PFu1prhcZd",1
"RT @BlogDilmaBR3: Contra a PEC55! Pelo Fora Temer! Pelas Liberdades Democráticas!
É no domingo, dia 27, Grande Ato na Av. Paulista,... http…",1
"Contra a PEC55! Pelo Fora Temer! Pelas Liberdades Democráticas!
É no domingo, dia 27, Grande Ato na Av. Paulista,... https://t.co/G530zyVQxI",1
"RT @debprogressista: Auditoria-Fiscal do Trabalho se manifesta contrária à PEC55 do Governo Temer-PSDB https://t.co/En8qWBZHMU https://t.co…",1
"Primeiramente para não perder o costume #ForaTemer e segundamente não a #PEC55",1
"#SP Contra a PEC55 Pelo Fora Temer! Pelas Liberdades Democráticas!
 Dia 27 (dom), Ato na Paulista, às 15h! Confirme… https://t.co/eXBmrJ7rXr",1
"você entende o que vem ser a PEC55?",1
"@folha quanto cinismo dessa mídia golpista. Publicar esse tipo de notícia e apoiando a PEC55 que congela investimentos. Incluir como?",1
"RT @eita_br: Atenção senadores: que tal ouvir a opinião do povo, pra variar?
#PEC55 #plc30 https://t.co/511UXoSpco",1
"olha n vou negar não que o discurso do mendonça filho sobre a Pec55 me esclareceu algumas coisas",1
"PEC55, muito inteligente; retira ganhos saúde/educação; depois, obriga reforma previdência para obter verba para sa… https://t.co/sJ8DuVfRE1",1
"Retweeted PT Brasil (@ptbrasiI):

Leia artigo da senadora gleisi sobre a #PEC55: https://t.co/XhtpIjhT1y https://t.co/HDJ15d3lmy",1
"@STF_oficial STF precisa sair de cima do muro. A cidadania não pode ficar desamparada nesses momentos 
#PEC55",1
"RT @casa_dos_pobres: Depois da PUC Minas, PUC Rio e PUR do RS aderiram ao movimento de ocupar universidades contra PEC55 https://t.co/aRgVH…",1
"Leia artigo da senadora gleisi sobre a #PEC55: https://t.co/RihTSRCqlv",1
"Leia artigo da senadora @gleisi sobre a #PEC55: https://t.co/sSrnqzWCJp",1
"Globo mostra protestos na coréia do sul e na malásia, mas esquece das ocupações no Brasil.. #ocupatudo #foratemer #PEC55",1
